gene,ctrl_mean,pert_mean,delta,abs_delta
AAK1,4.079605,4.0224853,-0.057119846,0.057119846
PPM1A,4.5154285,4.5725327,0.05710411,0.05710411
RPRD1A,9.725404,9.66834,-0.057064056,0.057064056
PPP2R5A,4.1439123,4.08685,-0.05706215,0.05706215
FSD1,4.188207,4.131242,-0.05696535,0.05696535
PHF3,4.8167696,4.7598596,-0.056910038,0.056910038
ZNF66,1.7921207,1.7352169,-0.05690384,0.05690384
ANKRD24,1.4456465,1.3887612,-0.05688536,0.05688536
LRIG1,12.226871,12.1699915,-0.056879044,0.056879044
RIPOR1,0.5129663,0.5698127,0.05684644,0.05684644
UXT,7.4807734,7.5375786,0.056805134,0.056805134
GALNT3,2.1021323,2.0453312,-0.05680108,0.05680108
SORBS2,2.5619762,2.5051968,-0.056779385,0.056779385
DDX31,2.6474485,2.590676,-0.05677247,0.05677247
SWI5,2.739496,2.6827257,-0.056770325,0.056770325
LAMB2,5.461494,5.404802,-0.056692123,0.056692123
CLOCK,3.5295475,3.4728806,-0.05666685,0.05666685
CDK13,4.554275,4.4976106,-0.056664467,0.056664467
TBC1D5,2.818132,2.8747876,0.056655645,0.056655645
TNNI3,1.8360488,1.7793956,-0.05665326,0.05665326
IGFBP6,1.4631968,1.4065549,-0.056641817,0.056641817
PLEC,4.3010006,4.2444277,-0.056572914,0.056572914
SHROOM3,4.243687,4.3002563,0.0565691,0.0565691
COQ8A,2.714716,2.6582193,-0.05649662,0.05649662
DHX29,5.5699654,5.513493,-0.0564723,0.0564723
PGD,4.6820517,4.6255865,-0.05646515,0.05646515
ABCF2,4.114653,4.058193,-0.056459904,0.056459904
SENP2,6.8584976,6.802105,-0.05639267,0.05639267
ZBED5,2.6779127,2.6215558,-0.056356907,0.056356907
TMEM125,2.4130867,2.3567617,-0.05632496,0.05632496
ARHGEF10L,2.1038086,2.0475214,-0.05628729,0.05628729
POLG2,3.5609546,3.5047324,-0.0562222,0.0562222
LSM7,5.9216,5.8654103,-0.056189537,0.056189537
C7orf50,4.645196,4.5890102,-0.056185722,0.056185722
PAIP2B,3.2693315,3.2131658,-0.056165695,0.056165695
CHPT1,5.236143,5.179992,-0.056150913,0.056150913
ID2,1.0015979,1.0577399,0.056141973,0.056141973
ZNF267,2.6227212,2.5665796,-0.056141615,0.056141615
RABL3,2.7405176,2.6843967,-0.056120872,0.056120872
XYLT2,2.899623,2.8435202,-0.056102753,0.056102753
NENF,6.7640405,6.707969,-0.05607128,0.05607128
ALDH9A1,6.6903553,6.634298,-0.056057453,0.056057453
HAS2,0.6959346,0.7519457,0.05601108,0.05601108
ATG5,4.7717676,4.7157845,-0.055983067,0.055983067
TFG,4.047936,3.9919987,-0.05593729,0.05593729
FABP7,1.0598282,1.115731,0.05590284,0.05590284
RAD54B,4.9635634,4.907666,-0.055897236,0.055897236
NPY1R,0.36609387,0.42198944,0.055895567,0.055895567
FGF2,13.5125475,13.456659,-0.055888176,0.055888176
BRPF3,3.6835709,3.6276891,-0.05588174,0.05588174
YIF1A,2.9316587,2.875798,-0.055860758,0.055860758
LDLRAD3,4.1238475,4.067997,-0.055850506,0.055850506
NRBP1,16.64999,16.594149,-0.055841446,0.055841446
MTIF3,3.895065,3.8392491,-0.055815935,0.055815935
HSDL2,3.4575388,3.5133455,0.055806637,0.055806637
RNF38,6.6264668,6.570676,-0.0557909,0.0557909
TCEAL5,0.88086754,0.82508177,-0.055785775,0.055785775
DCUN1D1,6.45044,6.3946924,-0.05574751,0.05574751
MCUR1,5.927546,5.871822,-0.055724144,0.055724144
BICD1,7.0941167,7.038406,-0.055710793,0.055710793
PSMD2,5.6242404,5.568546,-0.05569458,0.05569458
GRHPR,9.040758,8.985079,-0.05567932,0.05567932
PCSK5,1.4231979,1.4788663,0.055668473,0.055668473
VPS36,3.486641,3.5422208,0.0555799,0.0555799
CHMP2B,8.423433,8.36787,-0.055562973,0.055562973
EIF2D,4.4089217,4.3533754,-0.055546284,0.055546284
JPT1,1.7694362,1.7139003,-0.055535913,0.055535913
SNX21,1.5852892,1.5297629,-0.055526376,0.055526376
COMMD4,5.754741,5.699225,-0.055516243,0.055516243
IPO8,7.186976,7.131493,-0.055482864,0.055482864
TOP3A,2.3432784,2.2878146,-0.05546379,0.05546379
PSENEN,4.4976163,4.44217,-0.055446148,0.055446148
SLC33A1,3.462149,3.4067135,-0.05543542,0.05543542
PDK2,2.4696405,2.4142559,-0.055384636,0.055384636
CYP2U1,1.5129925,1.5683655,0.055372953,0.055372953
MED30,3.6525304,3.7078817,0.055351257,0.055351257
ZNF766,2.228311,2.1729794,-0.055331707,0.055331707
SGK1,1.8679799,1.8126566,-0.055323243,0.055323243
CPSF3,6.5053697,6.4500785,-0.055291176,0.055291176
PET100,3.732109,3.676838,-0.05527115,0.05527115
ZPR1,4.5681057,4.5128865,-0.055219173,0.055219173
HIKESHI,3.8406067,3.7853925,-0.055214167,0.055214167
MGAT4B,12.920133,12.864924,-0.055208206,0.055208206
LRFN4,1.8593881,1.8041857,-0.055202365,0.055202365
TP53INP1,0.7919635,0.84716296,0.055199444,0.055199444
FEZF1,0.09128772,0.14646882,0.0551811,0.0551811
ZNF605,1.5052389,1.4500784,-0.055160522,0.055160522
SNF8,5.9734387,5.918284,-0.0551548,0.0551548
DPP9,3.176996,3.1218863,-0.05510974,0.05510974
MCOLN3,0.6098334,0.6649426,0.055109203,0.055109203
ZBTB46,2.361248,2.3062966,-0.05495143,0.05495143
APAF1,2.5978363,2.6527796,0.054943323,0.054943323
PALD1,3.0169215,2.9620037,-0.054917812,0.054917812
HTR1D,1.141581,1.1964587,0.05487764,0.05487764
ISG20L2,2.2155018,2.1606417,-0.054860115,0.054860115
NTMT1,1.967545,1.9127074,-0.054837584,0.054837584
TSTA3,6.863736,6.8089046,-0.054831505,0.054831505
POP1,2.1565642,2.1017385,-0.054825783,0.054825783
FIP1L1,4.2964168,4.2416153,-0.054801464,0.054801464
MYO1C,3.4431057,3.388346,-0.05475974,0.05475974
CCDC12,3.47467,3.419914,-0.054755926,0.054755926
GADD45A,1.4992927,1.553996,0.054703236,0.054703236
POLH,0.84079003,0.89545435,0.054664314,0.054664314
CNOT8,7.4951015,7.4404387,-0.054662704,0.054662704
NUMBL,1.9808257,1.9261812,-0.054644465,0.054644465
PEPD,3.6516397,3.5970278,-0.05461192,0.05461192
ZNF718,2.4422936,2.3876908,-0.05460286,0.05460286
FARP2,1.9581412,1.9035757,-0.05456555,0.05456555
MMGT1,4.2666597,4.2121334,-0.05452633,0.05452633
EEF2KMT,1.8427284,1.7882161,-0.054512262,0.054512262
DYNC1H1,4.043902,3.9894044,-0.05449748,0.05449748
PYM1,5.5527034,5.4982657,-0.054437637,0.054437637
TRAK1,3.657717,3.712098,0.054380894,0.054380894
MED10,3.8379087,3.892281,0.05437231,0.05437231
PIGM,2.2808309,2.2265904,-0.054240465,0.054240465
BID,1.964847,1.9106266,-0.05422032,0.05422032
SAAL1,3.2903132,3.2361152,-0.054198027,0.054198027
NEK6,2.326383,2.2721891,-0.054193974,0.054193974
ECSIT,5.845138,5.790963,-0.0541749,0.0541749
C18orf32,5.18378,5.237934,0.05415392,0.05415392
ALKBH8,2.2765613,2.2224286,-0.0541327,0.0541327
EXOSC3,2.2782638,2.2241325,-0.05413127,0.05413127
GMDS,6.358602,6.304478,-0.05412388,0.05412388
FAM184A,1.884823,1.9389122,0.05408919,0.05408919
SCN9A,0.87468565,0.92877,0.05408436,0.05408436
COL4A2,2.7107346,2.6566956,-0.054039,0.054039
PCDH10,0.40441638,0.45840183,0.053985447,0.053985447
WFS1,2.5913663,2.537398,-0.05396819,0.05396819
FAM117A,2.3805795,2.3266137,-0.053965807,0.053965807
KDM6B,0.2641712,0.31812647,0.053955257,0.053955257
ZNF778,3.334058,3.280103,-0.053955078,0.053955078
SEMA7A,2.2402556,2.186322,-0.05393362,0.05393362
SEC22B,4.6291647,4.5752635,-0.053901196,0.053901196
COQ2,3.47171,3.4178169,-0.05389309,0.05389309
RAD1,2.6954894,2.6416054,-0.05388403,0.05388403
SARM1,0.9398837,0.88601124,-0.053872466,0.053872466
CAPN1,10.865125,10.811253,-0.05387211,0.05387211
SYMPK,6.217231,6.1633615,-0.053869247,0.053869247
RPA2,3.46985,3.416058,-0.053792,0.053792
COX7A2,14.628143,14.574439,-0.05370426,0.05370426
SGCB,6.1538925,6.207595,0.053702354,0.053702354
VEZF1,6.146139,6.0924373,-0.053701878,0.053701878
BCS1L,1.8510582,1.7973588,-0.053699493,0.053699493
KLF15,1.2206098,1.2742863,0.053676486,0.053676486
PAPSS1,10.602839,10.656499,0.05365944,0.05365944
ORMDL3,2.7354097,2.6817698,-0.05363989,0.05363989
PABPC4L,1.1628249,1.2164536,0.053628683,0.053628683
OGFOD3,3.265219,3.2115982,-0.053620815,0.053620815
POLDIP3,2.9572244,2.9036193,-0.05360508,0.05360508
TEX2,2.982109,2.9285188,-0.053590298,0.053590298
FANCF,4.889145,4.835568,-0.053576946,0.053576946
ILVBL,4.2002044,4.1466327,-0.0535717,0.0535717
TAF4B,2.4107554,2.3571987,-0.05355668,0.05355668
R3HCC1L,3.0805218,3.0269692,-0.053552628,0.053552628
RRAGC,2.5683937,2.6219053,0.05351162,0.05351162
MMP24OS,2.090528,2.1440384,0.053510427,0.053510427
MED15,4.6753197,4.6218123,-0.053507328,0.053507328
CUL2,6.0225797,5.9690986,-0.053481102,0.053481102
VAPA,8.760216,8.706767,-0.053448677,0.053448677
PDLIM2,3.8796103,3.8261633,-0.053447008,0.053447008
DPH7,4.3035417,4.250108,-0.053433895,0.053433895
WDR18,8.371438,8.318012,-0.05342579,0.05342579
RPGRIP1L,3.5924926,3.539075,-0.053417683,0.053417683
KIF21B,2.8636055,2.810188,-0.053417444,0.053417444
EFNA5,2.433335,2.48672,0.05338502,0.05338502
GPAA1,4.767367,4.7140203,-0.053346634,0.053346634
SMIM20,6.7461495,6.692813,-0.05333662,0.05333662
ZMYM4,10.42752,10.374189,-0.05333042,0.05333042
RPUSD3,2.6850638,2.6317418,-0.053322077,0.053322077
CAPG,2.5824602,2.6357777,0.053317547,0.053317547
PGAM1,2.680218,2.6269026,-0.0533154,0.0533154
FBN2,1.1607816,1.2140778,0.05329621,0.05329621
JPH1,4.2597966,4.2065406,-0.053256035,0.053256035
SLC35A1,1.4416912,1.4949398,0.053248644,0.053248644
CRMP1,17.941849,17.995085,0.053236008,0.053236008
PHF20,3.0822768,3.02905,-0.05322671,0.05322671
RPTOR,4.3144383,4.2612767,-0.05316162,0.05316162
ATP6V1A,6.450571,6.3974285,-0.053142548,0.053142548
GAL3ST3,2.3118713,2.258737,-0.053134203,0.053134203
FBLN1,6.8587594,6.805644,-0.053115368,0.053115368
RTL8C,2.9768965,2.9238381,-0.053058386,0.053058386
ANKRD33B,1.6331203,1.5800968,-0.053023458,0.053023458
ATG3,5.384561,5.331551,-0.053009987,0.053009987
CENPB,3.6221187,3.5691464,-0.052972317,0.052972317
EMC1,4.5232344,4.4702644,-0.052969933,0.052969933
CIAPIN1,3.133356,3.080389,-0.05296707,0.05296707
CNIH1,4.496385,4.4434423,-0.052942753,0.052942753
TMEM160,2.9792016,2.926263,-0.05293846,0.05293846
DTWD1,2.8025723,2.7496464,-0.052925825,0.052925825
DCAF15,6.3959556,6.3430533,-0.05290222,0.05290222
TRNT1,2.4750366,2.4221587,-0.052877903,0.052877903
TOMM7,15.740806,15.793667,0.052861214,0.052861214
C16orf87,4.440512,4.3876524,-0.052859783,0.052859783
SMIM7,4.6164346,4.563592,-0.052842617,0.052842617
ACOXL,4.3804483,4.4332895,0.052841187,0.052841187
RPRD2,4.567713,4.5148964,-0.05281639,0.05281639
DVL3,4.4906487,4.437861,-0.05278778,0.05278778
LTV1,6.2034526,6.1506963,-0.05275631,0.05275631
CBR4,2.7982764,2.7455392,-0.052737236,0.052737236
RAB17,5.3704944,5.423224,0.052729607,0.052729607
ARL5B,7.2385793,7.185863,-0.052716255,0.052716255
LMO7,0.7664501,0.8191505,0.0527004,0.0527004
C1orf198,4.236117,4.1834655,-0.052651405,0.052651405
TMEM185B,1.7760373,1.82867,0.05263269,0.05263269
MKLN1,11.001362,10.948743,-0.05261898,0.05261898
RLIM,4.8609595,4.8083477,-0.052611828,0.052611828
AP2A1,17.475666,17.42312,-0.052545547,0.052545547
PCBP1,2.1678803,2.1153433,-0.052536964,0.052536964
CRYZ,3.313443,3.2609162,-0.052526712,0.052526712
TMEM35B,2.611536,2.5590153,-0.052520752,0.052520752
TGFBR1,11.110462,11.057991,-0.05247116,0.05247116
DNAJC24,2.7205837,2.668154,-0.052429676,0.052429676
MTPN,4.5503983,4.497993,-0.052405357,0.052405357
COL5A2,0.8161934,0.86853415,0.052340746,0.052340746
SRC,3.5522056,3.499888,-0.05231762,0.05231762
LZIC,6.3113213,6.2590375,-0.052283764,0.052283764
FOXRED2,3.577876,3.5256066,-0.05226946,0.05226946
FTSJ1,1.7560247,1.7037745,-0.052250266,0.052250266
XPNPEP1,3.1258905,3.1780913,0.052200794,0.052200794
RAD18,3.5317476,3.4795654,-0.052182198,0.052182198
GRHL2,2.9757178,2.9235706,-0.05214715,0.05214715
RWDD1,6.1774673,6.1253324,-0.05213499,0.05213499
ARHGAP8,3.3897736,3.3376462,-0.05212736,0.05212736
GPALPP1,2.9447558,2.8926306,-0.052125216,0.052125216
TASOR,5.145877,5.093759,-0.052117825,0.052117825
SPATA33,3.3052704,3.2531555,-0.052114964,0.052114964
NUBP1,3.566115,3.514001,-0.05211401,0.05211401
TNRC6B,5.2289133,5.1768026,-0.052110672,0.052110672
FNIP1,1.9216523,1.9737462,0.052093863,0.052093863
KBTBD4,2.6262574,2.574193,-0.05206442,0.05206442
VAPB,4.3396373,4.2876015,-0.05203581,0.05203581
POLE,3.2149518,3.162952,-0.051999807,0.051999807
FAM104B,4.1618295,4.1098433,-0.051986217,0.051986217
PTRHD1,4.767079,4.7151017,-0.051977158,0.051977158
ZFHX2,2.5707512,2.5187743,-0.05197692,0.05197692
TSTD1,3.5372224,3.589196,0.05197358,0.05197358
IRS1,2.5509744,2.4990196,-0.051954746,0.051954746
TSPAN17,1.9995023,1.9475524,-0.05194986,0.05194986
ACTR3B,3.5442948,3.492351,-0.05194378,0.05194378
POLR3B,2.2487164,2.1967754,-0.051940918,0.051940918
NDEL1,4.2133017,4.1613626,-0.05193901,0.05193901
PTPN23,5.7240677,5.672141,-0.051926613,0.051926613
PLPP1,4.5808625,4.632785,0.05192232,0.05192232
CPSF4,6.2655334,6.2136245,-0.05190897,0.05190897
NARF,2.5360436,2.4841368,-0.051906824,0.051906824
COL14A1,1.6184251,1.566574,-0.051851153,0.051851153
ZNF652,3.7944782,3.7426283,-0.051849842,0.051849842
MFAP1,3.7207408,3.668897,-0.05184388,0.05184388
PTCD1,3.1838067,3.1319847,-0.051821947,0.051821947
SLC12A9,3.8388517,3.787031,-0.051820755,0.051820755
CCDC137,1.8055584,1.7537534,-0.05180502,0.05180502
ABLIM1,2.8742142,2.8224165,-0.05179763,0.05179763
MTR,2.9658947,2.9141166,-0.051778078,0.051778078
SLC16A9,1.7591157,1.7073463,-0.051769376,0.051769376
ATOX1,6.254715,6.3064713,0.051756382,0.051756382
CHMP2A,4.3155384,4.3672915,0.051753044,0.051753044
SLC25A19,1.7570201,1.7052765,-0.051743627,0.051743627
SLC29A3,2.764957,2.7132175,-0.051739454,0.051739454
DMC1,1.5599067,1.5081952,-0.05171156,0.05171156
TP53RK,2.013883,1.9621731,-0.05171001,0.05171001
ZNF883,2.298774,2.2471313,-0.051642656,0.051642656
HTATSF1,5.688417,5.6367774,-0.051639557,0.051639557
ATP6V0D1,4.788113,4.7364783,-0.05163479,0.05163479
SPTLC2,4.1883907,4.1367583,-0.051632404,0.051632404
ASXL1,3.2124896,3.16086,-0.051629543,0.051629543
SLC25A36,6.3763623,6.3247404,-0.051621914,0.051621914
PPP1R3B,2.5452902,2.5968912,0.051600933,0.051600933
MATN2,2.2640927,2.2125213,-0.05157137,0.05157137
PXN,4.1626415,4.111127,-0.051514626,0.051514626
NUDT1,5.8578687,5.8063593,-0.05150938,0.05150938
L3MBTL2,2.3990726,2.34757,-0.051502705,0.051502705
SPC24,3.8475482,3.796048,-0.05150032,0.05150032
MED17,4.435771,4.3842826,-0.0514884,0.0514884
ZNF331,4.4110174,4.359547,-0.05147028,0.05147028
SNX14,2.6437552,2.6952217,0.051466465,0.051466465
DDX17,5.8360486,5.78459,-0.051458836,0.051458836
DDIT3,0.24036044,0.29174155,0.05138111,0.05138111
DHRS3,1.8165601,1.7652065,-0.051353693,0.051353693
ITFG2,3.1237426,3.072399,-0.05134368,0.05134368
WDR48,2.3912668,2.3399236,-0.051343203,0.051343203
BRD3,2.9969351,2.9456027,-0.051332474,0.051332474
NSMCE4A,5.8262258,5.774917,-0.051308632,0.051308632
ZNF3,3.4113054,3.3600004,-0.051305056,0.051305056
FBXO21,3.4486327,3.3973413,-0.051291466,0.051291466
TMEM216,3.7158947,3.664615,-0.051279783,0.051279783
BRMS1L,2.5244918,2.5757658,0.05127406,0.05127406
PPP2R3B,6.997695,6.9464273,-0.051267624,0.051267624
ACBD6,14.881968,14.933221,0.05125332,0.05125332
POP5,1.7779233,1.7267022,-0.051221132,0.051221132
MRRF,2.2897632,2.2386768,-0.051086426,0.051086426
PPP3CB,5.900304,5.849222,-0.051081657,0.051081657
DNAJB12,3.1195517,3.0684774,-0.051074266,0.051074266
NCAPD2,12.09595,12.044894,-0.05105591,0.05105591
HSPA14-1,5.9546313,5.903641,-0.050990105,0.050990105
ARL5A,5.1928434,5.141854,-0.050989628,0.050989628
WDR4,2.6370232,2.586039,-0.050984144,0.050984144
TGFBRAP1,2.8241565,2.7732022,-0.050954342,0.050954342
KRIT1,6.137285,6.0863423,-0.050942898,0.050942898
CNIH4,14.732712,14.681781,-0.050930977,0.050930977
BUD13,3.9056737,3.8547547,-0.050919056,0.050919056
LPAR2,2.9151037,2.8641922,-0.050911427,0.050911427
NCOA5,3.316822,3.2659247,-0.05089736,0.05089736
RBM39,8.99036,8.939464,-0.050896645,0.050896645
NDUFC2,4.4630136,4.4121313,-0.05088234,0.05088234
MELK,6.6747694,6.623888,-0.050881386,0.050881386
STK11,4.8470507,4.7961793,-0.050871372,0.050871372
NUP35,2.5570776,2.506229,-0.050848722,0.050848722
RHOC,3.649518,3.700339,0.050821066,0.050821066
SRRD,3.6261263,3.575318,-0.05080819,0.05080819
HUWE1,3.8710446,3.8202374,-0.050807238,0.050807238
NAP1L3,2.3897998,2.3390334,-0.050766468,0.050766468
NR1H3,2.4770536,2.4263477,-0.05070591,0.05070591
BRF2,3.05362,3.0029166,-0.050703526,0.050703526
SRSF10,1.7380816,1.6873952,-0.05068636,0.05068636
TMEM98,3.6873953,3.6367335,-0.050661802,0.050661802
STXBP4,3.646689,3.5960448,-0.05064416,0.05064416
PDSS1,2.3376467,2.287039,-0.05060768,0.05060768
RBM15,5.635504,5.5848975,-0.05060625,0.05060625
SFXN2,3.4288297,3.3782258,-0.050603867,0.050603867
IGLON5,3.5048199,3.5554159,0.050596,0.050596
CDKL5,2.3161933,2.2656133,-0.050580025,0.050580025
PTK2,3.5267708,3.4762175,-0.05055332,0.05055332
EEF1A2,1.7176236,1.6670727,-0.050550938,0.050550938
CBX2,4.8468933,4.796343,-0.05055046,0.05055046
SEZ6L2,3.308728,3.2582564,-0.050471544,0.050471544
SEC23B,4.538663,4.488195,-0.050467968,0.050467968
TSG101,5.6186347,5.6690936,0.050458908,0.050458908
DUS3L,4.14386,4.093404,-0.050456047,0.050456047
LYPD6,1.4872695,1.4368995,-0.050369978,0.050369978
MFN2,2.3255973,2.2752476,-0.050349712,0.050349712
TAB2,8.105773,8.156119,0.050346375,0.050346375
PTGFRN,2.8620598,2.9124017,0.050341845,0.050341845
AP4S1,1.7624686,1.7121308,-0.05033779,0.05033779
NAA10,4.9368453,4.8865085,-0.050336838,0.050336838
FAM168A,3.6929224,3.6425939,-0.050328493,0.050328493
CNTNAP2,5.0011787,5.0514975,0.050318718,0.050318718
FAM169A,4.19803,4.147725,-0.05030489,0.05030489
SLC30A7,1.9760059,1.925706,-0.050299883,0.050299883
FBXO9,3.9500732,4.0003605,0.050287247,0.050287247
STAMBP,5.3632126,5.3129654,-0.050247192,0.050247192
PPP1R7,7.1716785,7.121433,-0.050245762,0.050245762
TRIT1,2.6467414,2.596498,-0.050243378,0.050243378
MAD2L1BP,5.769489,5.7192636,-0.050225258,0.050225258
BET1,1.984781,1.9345592,-0.0502218,0.0502218
ROMO1,11.9787035,11.928492,-0.050211906,0.050211906
OCRL,2.6083665,2.5581958,-0.05017066,0.05017066
MME,3.5794477,3.5292988,-0.050148964,0.050148964
LGALS3BP,1.9161253,1.8659836,-0.050141692,0.050141692
C5orf15,3.0801551,3.0300279,-0.050127268,0.050127268
TMED3,3.6988685,3.6487818,-0.050086737,0.050086737
ZNF827,1.331622,1.2815557,-0.050066352,0.050066352
CENPQ,2.660965,2.6109385,-0.050026417,0.050026417
MAPK7,3.558335,3.5083263,-0.050008774,0.050008774
NT5C,1.8780124,1.8280146,-0.049997807,0.049997807
ASXL2,3.163925,3.1139288,-0.049996138,0.049996138
LRRC45,2.2379768,2.1879823,-0.04999447,0.04999447
TAB1,2.524256,2.4742622,-0.049993753,0.049993753
STRN3,7.754715,7.7047577,-0.049957275,0.049957275
TAFA5,1.8962175,1.8463438,-0.04987371,0.04987371
COPS6,4.2311926,4.181319,-0.049873352,0.049873352
INO80B,2.2094772,2.1596532,-0.049824,0.049824
TNKS2,5.5045576,5.454737,-0.049820423,0.049820423
HESX1,3.4851477,3.5349624,0.0498147,0.0498147
SAP130,3.5760686,3.526284,-0.04978466,0.04978466
GSDMD,3.2115464,3.1617723,-0.04977417,0.04977417
AHCTF1,2.542697,2.4929354,-0.049761534,0.049761534
BRINP1,3.1704736,3.120712,-0.049761534,0.049761534
CXADR,5.007832,4.958088,-0.04974413,0.04974413
CEP192,4.0869656,4.037237,-0.049728394,0.049728394
TRIM13,4.6495967,4.699318,0.04972124,0.04972124
APTX,3.7103417,3.6606226,-0.049719095,0.049719095
PLXNB2,6.291335,6.241626,-0.04970932,0.04970932
TXNL1,6.2881913,6.238502,-0.049689293,0.049689293
ARFIP1,4.8432784,4.79359,-0.04968834,0.04968834
ZNF830,3.5434828,3.4938037,-0.04967904,0.04967904
TIGD7,1.257806,1.2081356,-0.04967034,0.04967034
CHMP4B,6.483,6.4333825,-0.04961729,0.04961729
DCAF1,3.135897,3.0862875,-0.049609423,0.049609423
WDR83OS,5.0847654,5.0351725,-0.04959297,0.04959297
HSPA4L,0.70486695,0.7544526,0.04958564,0.04958564
TERF2,6.1389093,6.1884904,0.04958105,0.04958105
KNSTRN,4.911777,4.862221,-0.049556255,0.049556255
SLIT2,0.43252304,0.48206687,0.049543828,0.049543828
TTK,3.7251678,3.6756256,-0.04954219,0.04954219
PPP1CC,3.2463067,3.196792,-0.04951477,0.04951477
MARCH9,0.55760163,0.607088,0.0494864,0.0494864
CREB3L2,1.7528552,1.7034249,-0.04943025,0.04943025
RUFY1,4.0781903,4.1276155,0.049425125,0.049425125
SLC1A1,0.76980305,0.819227,0.049423933,0.049423933
SLMAP,4.0347075,3.985352,-0.049355507,0.049355507
ZNF511,3.6399832,3.590665,-0.049318075,0.049318075
SPINDOC,8.112505,8.063207,-0.049298286,0.049298286
PCYT1B,2.2937973,2.2445097,-0.049287558,0.049287558
FOCAD,4.410546,4.4598165,0.04927063,0.04927063
ITCH,4.350744,4.301474,-0.049269676,0.049269676
WDR59,4.7210813,4.6718187,-0.049262524,0.049262524
SRSF9,7.6379924,7.588732,-0.049260616,0.049260616
SCAF1,5.0292854,4.9800544,-0.049231052,0.049231052
ABCB8,2.271008,2.2218006,-0.04920745,0.04920745
FUS,3.2615519,3.2123466,-0.049205303,0.049205303
TRIOBP,2.9491303,2.9983232,0.049192905,0.049192905
ATP8A1,2.6396165,2.5904303,-0.04918623,0.04918623
AP2A2,4.087542,4.1367197,0.049177647,0.049177647
PCCB,6.076252,6.0270786,-0.049173355,0.049173355
CASP2,2.729804,2.6806557,-0.04914832,0.04914832
PREX2,5.242744,5.193597,-0.04914713,0.04914713
TAOK2,4.345557,4.296422,-0.049135208,0.049135208
LATS1,3.791623,3.7425628,-0.049060345,0.049060345
CCDC124,6.6463485,6.6954017,0.049053192,0.049053192
FEZ2,2.424141,2.4731755,0.049034595,0.049034595
CHD6,4.245259,4.1962404,-0.049018383,0.049018383
AGTRAP,8.844929,8.795972,-0.04895687,0.04895687
KIF5A,2.3526561,2.3037024,-0.04895377,0.04895377
COX7A2L,3.688993,3.7379367,0.048943758,0.048943758
ZNF566,1.8131025,1.764196,-0.048906446,0.048906446
FOXH1,1.5718776,1.5230342,-0.048843384,0.048843384
UCKL1,4.3376727,4.2888303,-0.04884243,0.04884243
PIFO,1.1010845,1.1498713,0.04878688,0.04878688
ANKS1A,4.034577,3.9857943,-0.048782587,0.048782587
GALE,1.8921312,1.9409057,0.04877448,0.04877448
PTP4A3,2.270091,2.3188639,0.048772812,0.048772812
CACHD1,3.6021323,3.5533624,-0.04876995,0.04876995
ATF7IP2,2.0173144,1.9685576,-0.048756838,0.048756838
FRZB,0.52195096,0.5706702,0.048719227,0.048719227
SLC25A44,4.1676445,4.118937,-0.048707485,0.048707485
ERCC6L2,6.3602786,6.311578,-0.04870081,0.04870081
C8orf33,2.68158,2.632894,-0.048686028,0.048686028
DPH2,2.5556371,2.506988,-0.048649073,0.048649073
SERPINF1,5.0459976,4.997351,-0.04864645,0.04864645
DNM2,6.130239,6.08164,-0.048599243,0.048599243
CTXN1,4.9673357,4.918737,-0.048598766,0.048598766
AKT1,3.4712384,3.5198338,0.04859543,0.04859543
TPGS1,3.018441,2.969912,-0.04852891,0.04852891
ZFYVE9,5.203505,5.1549835,-0.04852152,0.04852152
EXTL3,8.466209,8.417702,-0.04850769,0.04850769
PLEKHG3,4.2254558,4.176961,-0.048494816,0.048494816
KYAT3,2.883592,2.8351092,-0.048482656,0.048482656
SNX8,2.7871175,2.7386358,-0.048481703,0.048481703
CEP95,3.4909368,3.4424758,-0.04846096,0.04846096
BAIAP2L1,2.8767288,2.8282878,-0.048440933,0.048440933
NSMCE1,3.2123322,3.1639078,-0.048424482,0.048424482
ZNF681,1.5418849,1.493487,-0.0483979,0.0483979
XPA,0.76532376,0.8137053,0.048381567,0.048381567
KAT6A,3.289344,3.337717,0.048372984,0.048372984
RAPGEF2,5.40515,5.356778,-0.04837179,0.04837179
B4GALT2,3.8557208,3.8074026,-0.048318148,0.048318148
ATG12,8.007203,7.9589124,-0.04829073,0.04829073
RAB8B,7.17401,7.12572,-0.048289776,0.048289776
BCAP29,3.1405332,3.1888125,0.048279285,0.048279285
ZDHHC4,5.237636,5.2859087,0.04827261,0.04827261
ATP6V1G1,13.447873,13.4961195,0.048246384,0.048246384
N4BP1,6.242849,6.194618,-0.048230648,0.048230648
GOSR2,2.580391,2.532166,-0.048224926,0.048224926
SASS6,2.8921835,2.8439624,-0.04822111,0.04822111
INTU,3.7499475,3.701732,-0.048215628,0.048215628
KIF26A,1.6234283,1.5752251,-0.04820323,0.04820323
PARD6B,4.415994,4.367805,-0.048189163,0.048189163
HTRA2,1.8790601,1.830882,-0.048178196,0.048178196
CTDSPL2,4.096029,4.0478706,-0.04815817,0.04815817
PACRGL,3.2671835,3.219026,-0.048157454,0.048157454
LIPA,3.1017394,3.1498768,0.048137426,0.048137426
DSEL,2.3641818,2.3160894,-0.048092365,0.048092365
RHOF,2.3304694,2.2823803,-0.048089027,0.048089027
USP53,1.235331,1.283418,0.048087,0.048087
